question,answer
How much time RTI request/appeal retain at this portal?,In the View History/View Status citizen can see RTI Cases retained for a period of 3 years.
What should I do if amount is deducted from my account but registration number is not generated?,"Use ""Payment Reconciliation"" featurePlease do not attempt to make payment repeatedly or try to submit request once again. Kindly wait for the 24 to 48 working hours as registration number will be generated after reconciliation. If it is not generated within stipulated time frame then kindly send an e-mail at helprtionline-dopt[at]nic[dot]in with your transaction details. However, in cases of unsuccessful RTI payment requests, if the requester wishes to check the payment status before 48 hours, it can be verified using the ""Payment Reconciliation"" feature."
What should I do when portal is not allowing me to file the first appeal?,"This may happen under following two situation:1) When your RTI application has been physically transferred to other public authority, which is not aligned to this portal. In such a case, you are required to file your appeal in physical mode to the concerned public authority.2) Another case can be if your RTI application has not been replied to by CPIO and 30 days period has not lapsed. In such a case, you may file first appeal only after completion of stipulated time period of 30 days."
Can I file online first appeal for any RTI application filed physically in the first place ?,"No,Online first appeal can only be filed against previously filed online RTI application."
Why RTI application filed by me is not reflecting in my user account history?,"If you have opted to file RTI or First Appeal directly i.e without logging into your user account, then in such cases you will not be able to see the filed RTI or Appeal in your registered account's history. However you can always check its status in ""View Status"" with the provided Reg. Nos."
"Why I have received multiple RTI registration numbers, even though I have filed single RTI application ?",This is the case where in your RTI application has been forwarded to multiple CPIOs since the information sought lies with more than one PIO.
How can I View Status/Reply of my RTI Application or First Appeal?,"Status/Reply of the RTI Application or First appeal filed online can be viewed by the applicant by clicking on ""View Status""."
What if the Registration Number is not received on my Email or Mobile No. even after 48 working Hours?,"Registration Number are generated after reconciliation of bank scrolls for cases whose numbers are not generated instantly after the payment. This procedure may take 24 to 48 working hours. If someones still does not receive the Registration Number, They may contact their respective bank for refund of amount."
"How to upload a supporting document if an alert comes as ""SUPPORTING DOCUMENTS REQUIRED FROM APPLICANT""?","When a Public Authority request for supporting document, an alert is sent to the applicant to his/her Mobile or Email Id. In such situation, the applicant is requested to visit the RTI Online Website and enter the details in 'View Status'. Once the detail is entered, the current status of the RTI application is shown along with the option for uploading the supporting document."
What queries can be raised with Helpline Email helprtionline-dopt(at)nic(dot)in ?,Helpline mail id is exclusively meant for queries or problem being faced while filing the online RTI through this portal. Please do not send mail to this helpline for any other matter or asking for any other details. The reply is limited to RTI online portal of Central Government only.
What should I do when my browser show certificate error while opening RTI online portal?,"You should ignore the certificate error and proceed forward. Kindly select,Mozilla Firefox – I understand the risk add exception. Google Chrome – Proceed Anyway. Internet Explorer - Continue to this website"
Can I file RTI application for state public authorities through this portal?,No. This Portal is exclusively meant for Public Authorities under Central Govt. only.
"If the RTI application is filed manually , then is it possible to file 1st appeal on line?","Manual applications can be lodged into RTI Online portal by CPIOs and can be disposed off by CPIO online. In this context, if applicant provides email id/Mobile No. in the application form and CPIO lodges this RTI application in the portal , then the actions taken by CPIO will be conveyed to applicant automatically through e-mail and Mobile SMS. Then applicant can file 1st appeal with the help of registration number conveyed ."
What are the reasons for my RTI payment failing?,"The major reasons for failure are due to Business declines,Business Decline are as under:1.	Customer has set e-Commerce flag as Disabled for Debit / Credit Card.2.	Customer either closed the internet browser or not proceeded further with the transaction resulting into session timeout.3.	Wrong OTP or no OTP entered by customer.4.	Wrong details of cards entered by customers like Card No, CVV, expiry date.5.	Insufficient balance in customer’s account.6.	Customer cancelled the transaction and reinitiated with different mode of payment (say from Debit card to UPI etc.).7.	Customer received collect request for payment in UPI app, but not completed the payment within time limit."
Why this OTP feature is introduced in view status option?,"RTI Application may contain personal information of the Applicant and if any third person gets the registration number and email id, then the person can view this personal information. So, in order to protect personal information of the applicant, according to cyber security norms, this OTP validating feature has been introduced. In view status option while OTPs are promptly dispatched from the NIC email domain, delays may occasionally occur due to high traffic on either NIC server or external email services like Gmail or Yahoo. Importantly, OTPs do not expire until they are used, meaning users can access the status of their applications as soon as the OTP arrives."
